from activity name,from reference product,from location,from categories,from database,from key,to activity name,to reference product,to location,to categories,to database,to key,flow type,amount_baseline,potato | amount_biochar_amendment
"market for inorganic phosphorus fertiliser, as P2O5","inorganic phosphorus fertiliser, as P2O5",ID,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', 'f6231da443044a39ab068ece25f55389')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",technosphere,9.599734039511532e-05,7.661399871916625e-05
"market for inorganic phosphorus fertiliser, as P2O5","inorganic phosphorus fertiliser, as P2O5",LT,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', 'f02ce2d34df9434b98283c88610dc476')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",technosphere,3.4662273264984833e-06,2.7663426388655092e-06
"market for inorganic phosphorus fertiliser, as P2O5","inorganic phosphorus fertiliser, as P2O5",NZ,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', 'aa100d98adc647479e942dc44fac1997')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",technosphere,2.3254609914147295e-05,1.8559145980963523e-05
"market for inorganic phosphorus fertiliser, as P2O5","inorganic phosphorus fertiliser, as P2O5",PL,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '2d0336edc44e442ebf2a6771f08c7e08')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",technosphere,2.2609412553720176e-05,1.8044223905602692e-05
"market for inorganic phosphorus fertiliser, as P2O5","inorganic phosphorus fertiliser, as P2O5",SE,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '26d7393e8317482cb22ca5d1f16768b3')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",technosphere,2.402335894657881e-06,1.9172672742680613e-06
"market for inorganic phosphorus fertiliser, as P2O5","inorganic phosphorus fertiliser, as P2O5",HU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', 'a9b75958ad6e408fb3a45539579d541b')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",technosphere,5.525372216652613e-06,4.409714458621399e-06
"market for inorganic phosphorus fertiliser, as P2O5","inorganic phosphorus fertiliser, as P2O5",ZA,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '2ddf13808c63469c9f3de8df7ce45d2b')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",technosphere,1.8395028746454045e-05,1.4680789103315278e-05
"market for inorganic phosphorus fertiliser, as P2O5","inorganic phosphorus fertiliser, as P2O5",VN,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '282ae2978de8489cb0a6fc3c156917e3')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",technosphere,5.4972308134892955e-05,4.387255238219709e-05
"market for inorganic phosphorus fertiliser, as P2O5","inorganic phosphorus fertiliser, as P2O5",LU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '66f6f8ee6d53425d8d740baafd1cd684')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",technosphere,1.5924054252991482e-07,1.2708742420583783e-07
"market for inorganic phosphorus fertiliser, as P2O5","inorganic phosphorus fertiliser, as P2O5",DK,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '402f44125135465abf64dc2817ee829a')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",technosphere,2.2650594928563805e-06,1.8077090924631926e-06
"market for inorganic phosphorus fertiliser, as P2O5","inorganic phosphorus fertiliser, as P2O5",CO,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', 'dd47f156ea274425bc3d274c5cf18aff')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",technosphere,1.4969983567425516e-05,1.1947313302015575e-05
"market for inorganic phosphorus fertiliser, as P2O5","inorganic phosphorus fertiliser, as P2O5",FI,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '9bc256fd0d2147deaba55ba335b0f14e')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",technosphere,1.5100396240086411e-06,1.2051393647315571e-06
"market for inorganic phosphorus fertiliser, as P2O5","inorganic phosphorus fertiliser, as P2O5",HR,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '57843c6adce947e1ad46d501e9806d7a')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",technosphere,1.921868715726305e-06,1.533813819414449e-06
"market for inorganic phosphorus fertiliser, as P2O5","inorganic phosphorus fertiliser, as P2O5",RO,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', 'df3254ba0e8944469c6b8620f4f29b76')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",technosphere,2.0090390535187908e-05,1.6033831233190668e-05
"market for inorganic phosphorus fertiliser, as P2O5","inorganic phosphorus fertiliser, as P2O5",CH,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '385a38d6997f443898d4a721008fd846')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",technosphere,6.040158382347727e-07,4.820557368194514e-07
"market for inorganic phosphorus fertiliser, as P2O5","inorganic phosphorus fertiliser, as P2O5",AL,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '76dcbcdc867e499394d62dd2daf25053')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",technosphere,5.219932290856377e-07,4.1659475585445946e-07
"market for inorganic phosphorus fertiliser, as P2O5","inorganic phosphorus fertiliser, as P2O5",DE,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', 'e7b9738bb25b42a688b1a43684b24298')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",technosphere,1.4585610188078135e-05,1.1640550828474169e-05
"market for inorganic phosphorus fertiliser, as P2O5","inorganic phosphorus fertiliser, as P2O5",TH,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '8e9a5aa3de6244e48613734274b45856')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",technosphere,3.531433685566299e-05,2.8183828296618503e-05
"market for inorganic phosphorus fertiliser, as P2O5","inorganic phosphorus fertiliser, as P2O5",NO,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', 'a8faed0e9f0e47c389636fc1a09b3818')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",technosphere,1.420810008312401e-06,1.133926582851078e-06
"market for inorganic phosphorus fertiliser, as P2O5","inorganic phosphorus fertiliser, as P2O5",BA,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '9e2e7beea98e4b1f9f00e3c02b26120f')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",technosphere,6.17743467046239e-07,4.930115459267668e-07
"market for inorganic phosphorus fertiliser, as P2O5","inorganic phosphorus fertiliser, as P2O5",SI,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '37ee69db73e54172bc069f732d453076')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",technosphere,6.726540391355229e-07,5.368348277218857e-07
"market for inorganic phosphorus fertiliser, as P2O5","inorganic phosphorus fertiliser, as P2O5",BG,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', 'bac0785237bb430ba481feda793bc3bf')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",technosphere,6.390213002305245e-06,5.099930568479844e-06
"market for inorganic phosphorus fertiliser, as P2O5","inorganic phosphorus fertiliser, as P2O5",EC,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', 'b834e1258eee4ac3be5227121558e5cf')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",technosphere,2.972032461912022e-06,2.3719333295387246e-06
"market for inorganic phosphorus fertiliser, as P2O5","inorganic phosphorus fertiliser, as P2O5",CR,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '56ac8db7c1a7424eb70d6bb050666a0c')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",technosphere,1.6335883401552564e-06,1.3037416920632532e-06
"market for inorganic phosphorus fertiliser, as P2O5","inorganic phosphorus fertiliser, as P2O5",NL,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', 'ebf76f0bbede43009e03bb95d4d2ff9b')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",technosphere,8.57977056512027e-07,6.84738273353573e-07
"market for inorganic phosphorus fertiliser, as P2O5","inorganic phosphorus fertiliser, as P2O5",AU,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', 'ff66a2da4954431997f20ab5e17fea9b')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",technosphere,5.611170126940124e-05,4.4781884492738414e-05
"market for inorganic phosphorus fertiliser, as P2O5","inorganic phosphorus fertiliser, as P2O5",TR,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '33ba7527a66e4021aca172161cc0d919')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",technosphere,5.1636492571560666e-05,4.121028936277786e-05
market for irrigation,irrigation,PE,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '5111aa88e18645a49b0772a99f4b51c0')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",technosphere,0.00785810500383377,0.006271432564911229
market for irrigation,irrigation,PH,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', 'f8400695b89547c1ad6559352a4f3cde')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",technosphere,0.04348617047071457,0.0347056428337706
market for irrigation,irrigation,TN,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '056b38b7996f483388a241478bbdb395')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",technosphere,0.001714401296339929,0.001368237267629632
market for irrigation,irrigation,CO,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '59e381005ba748fa9b268186bbc18889')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",technosphere,0.003804233158007264,0.003036099886677784
market for irrigation,irrigation,MY,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', 'b3c76d8b974646ef8a1ac2cda1db6e61')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",technosphere,0.0029308220837265253,0.002339043961473683
market for irrigation,irrigation,MA,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '0c870898485b4a539595aa8a4f404922')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",technosphere,0.008575248531997204,0.006843773768553235
market for irrigation,irrigation,BR,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', 'c398e696eb8f45cd9ad0d4b2797ac40c')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",technosphere,0.025968899950385094,0.020725379050586665
market for irrigation,irrigation,ES,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', 'f5577734ac0047fb820e25b01a0c6591')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",technosphere,0.010801595635712147,0.008620587099530843
market for irrigation,irrigation,FR,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', 'da8201428ac246e4b2bcf0dcd8efdca9')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",technosphere,0.0017581568099558353,0.0014031578690788789
market for irrigation,irrigation,DE,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', 'cae537e7fcae444a9a3e2139b4fa18a9')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",technosphere,0.00019022721971850842,0.00015181741398125173
market for irrigation,irrigation,CH,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '74915c6c6b074ecd8ed5da63073c9bdb')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",technosphere,4.40920157416258e-05,3.5189158612630325e-05
market for irrigation,irrigation,ZA,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '23cb4b0b272e473d802e03a824590915')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",technosphere,0.00603023124858737,0.00481263467564834
"market for organophosphorus-compound, unspecified","organophosphorus-compound, unspecified",GLO,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '3e9698a0e09b48a19add2fc2dd340d51')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",technosphere,2.9816999813192524e-05,2.3796488278685172e-05
"market for packaging, for fertilisers","packaging, for fertilisers",GLO,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', 'bf63792ebabf4e50b81dacd7427f8e1f')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",technosphere,0.028972839936614037,0.023122777283810084
"market for packaging, for pesticides","packaging, for pesticides",GLO,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '79ee10ef521d4c9388e91fdb4e5ad857')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",technosphere,0.003613811917603016,0.002884127627775751
"market for pesticide, unspecified","pesticide, unspecified",GLO,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '11ac7fea747141ad91220cb6bd0e97b7')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",technosphere,0.0010173999471589923,0.0008119712267829148
market for phenoxy-compound,phenoxy-compound,GLO,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '9b5362597e764ebca94be43fc95dfae7')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",technosphere,2.408299906164757e-06,1.922027059987835e-06
market for potassium chloride,potassium chloride,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', 'e75418d9c9224603be7fd40179b3a874')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",technosphere,0.006534833461046219,0.005215349929007357
market for potato grading,potato grading,GLO,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', 'edfa86844cf04d8e869236b7e22bf641')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",technosphere,1.0,1.0
market for potato haulm cutting,potato haulm cutting,GLO,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '10d1cefa5c4347138a49330e0104518a')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",technosphere,2.4389999452978373e-05,1.9465282883462386e-05
market for potato planting,potato planting,GLO,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '0b84f813bc41414a887bce6d49875210')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",technosphere,2.4389999452978373e-05,1.9465282883462386e-05
"market for potato seed, for setting","potato seed, for setting",GLO,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', 'f08563b65bc54c17b459293650c8beae')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",technosphere,0.05740800127387047,0.045816441559353924
market for pyridazine-compound,pyridazine-compound,GLO,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', 'd2c4f64c9c2f469d9a47c0df63aaf1e0')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",technosphere,4.112700025871163e-06,3.282282542594703e-06
"market for tillage, cultivating, chiselling","tillage, cultivating, chiselling",GLO,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '117b27a8b1ac4859848fe8866fd51118')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",technosphere,2.4389999452978373e-05,1.9465282883462386e-05
"market for tillage, harrowing, by spring tine harrow","tillage, harrowing, by spring tine harrow",GLO,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', 'baa3648fa3614622ab10795fc5bffaec')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",technosphere,4.8779998905956745e-05,3.893056576692477e-05
"market for tillage, hoeing and earthing-up, potatoes","tillage, hoeing and earthing-up, potatoes",GLO,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', 'a180206ccbcf43fbbc218b7c80253ed1')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",technosphere,4.8779998905956745e-05,3.893056576692477e-05
"market for tillage, ploughing","tillage, ploughing",GLO,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '2c5ce8314a7d44aa8afd1c9997a3ad5c')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",technosphere,2.4389999452978373e-05,1.9465282883462386e-05
market for triazine-compound,triazine-compound,GLO,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '86432db3c00641a7829cf28071fcb57c')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",technosphere,6.6651000452111475e-06,5.319313683328928e-06
market for urea,urea,RER,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', 'db98f76542e24006a82fa7258be8871e')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",technosphere,0.0009762429399415851,0.0007791244532654309
market for urea,urea,RNA,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', 'a7156d85e5dc4a3083e23231aaa9d2f9')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",technosphere,0.0007875033770687878,0.0006284943152983142
Ammonia,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '0f440cc0-0f74-446d-99d6-8ff0e97a2444')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",biosphere,0.00033138899016194046,0.00026447644865278564
"Carbon dioxide, fossil",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', 'aa7cac3a-3625-41d4-bc54-33e2cf11ec46')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",biosphere,0.0012917000567540526,0.0010793375573994357
Dinitrogen monoxide,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', 'afd6d670-bbb0-4625-9730-04088a5b035e')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",biosphere,0.00012324699491728097,7.967283789544899e-05
Nitrogen oxides,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '77357947-ccc5-438e-9996-95e65e1e1bce')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",biosphere,2.588187089713756e-05,2.0655922503701163e-05
Water,,,"('air',)",biosphere3,"('biosphere3', '075e433b-4be4-448e-9510-9a5029c1ce94')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",biosphere,0.07863640040159225,0.06275849992146229
"2,4-D",,,"('soil', 'agricultural')",biosphere3,"('biosphere3', 'f681eb3c-854a-4f78-bcfe-76dfbcf9df3c')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",biosphere,5.983999962211328e-09,4.7757381980936375e-09
Aldicarb,,,"('soil', 'agricultural')",biosphere3,"('biosphere3', 'fbe48c6a-321d-44ae-8883-b6fa4e0f4e77')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",biosphere,4.143099886277923e-06,3.306544202935294e-06
Azinphos-methyl,,,"('soil', 'agricultural')",biosphere3,"('biosphere3', 'c10f1360-e1dc-44fa-8c2d-00bdd8524724')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",biosphere,3.960300034577813e-07,3.1606544569655325e-07
Azoxystrobin,,,"('soil', 'agricultural')",biosphere3,"('biosphere3', 'e69b028e-e549-4869-ae4a-b85ef8bcb7a9')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",biosphere,1.958399934665067e-06,1.5629688225579146e-06
Beta-cyfluthrin,,,"('soil', 'agricultural')",biosphere3,"('biosphere3', 'dd786e61-d387-4dc4-8314-2a5f958e7168')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",biosphere,2.6982999656866014e-07,2.1534716406118126e-07
Cadmium II,,,"('soil', 'agricultural')",biosphere3,"('biosphere3', 'e429b852-e421-4fcb-8a9b-b0241863bfb2')",potato production,potato,RoW,,remind - SSP1-PkBudg650 - 2050,"('remind - SSP1-PkBudg650 - 2050', '68ed840dc31042a197b1ecbf5bcb40f5')",biosphere,3.0068500223023875e-07,2.399720688190253e-07
