from activity name,from reference product,from location,from categories,from database,from key,to activity name,to reference product,to location,to categories,to database,to key,flow type,baseline,nop_supplementation,increase_feed_level,nitrate_supplementation
Nitrate,,,"('water',)",biosphere3,"('biosphere3', '5189de76-6bbb-44ba-8c42-5714f1b4371f')","milk production, from cow",cow milk,ZA,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'deb8de8b6bd54e369bf9c2f766d2ed72')",biosphere,0.0022598817013204098,0.0022598817013204098,0.0019348302237332277,0.0022669091195911422
Phosphate,,,"('water',)",biosphere3,"('biosphere3', 'c8791f3c-3c4a-4278-91c0-483797d14da2')","milk production, from cow",cow milk,ZA,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'deb8de8b6bd54e369bf9c2f766d2ed72')",biosphere,0.0002502012066543102,0.0002502012066543102,0.000214213361861567,0.00025097924230545714
Water,,,"('water', 'surface water')",biosphere3,"('biosphere3', 'db4566b1-bd88-427d-92da-2d25879063b9')","milk production, from cow",cow milk,ZA,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'deb8de8b6bd54e369bf9c2f766d2ed72')",biosphere,0.09931353479623795,0.09931353479623795,0.08502871129814893,0.09962236412502552
"Occupation, grassland, natural, for livestock grazing",,,"('natural resource', 'land')",biosphere3,"('biosphere3', 'e780232c-898f-4606-8d21-f8589801ebe6')","milk production, from cow",cow milk,ZA,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'deb8de8b6bd54e369bf9c2f766d2ed72')",biosphere,7.812734127044678,7.812734127044678,6.6889846978122245,7.837028916686405
"Occupation, pasture, man made",,,"('natural resource', 'land')",biosphere3,"('biosphere3', '59ded913-17fe-4b3e-80cb-79b97cdbef9a')","milk production, from cow",cow milk,ZA,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'deb8de8b6bd54e369bf9c2f766d2ed72')",biosphere,14.2291841506958,14.2291841506958,12.182520676965584,14.273431789242453
"Transformation, from grassland, natural (non-use)",,,"('natural resource', 'land')",biosphere3,"('biosphere3', 'b905c2e0-a0db-4e66-80d2-8bdfc93c6218')","milk production, from cow",cow milk,ZA,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'deb8de8b6bd54e369bf9c2f766d2ed72')",biosphere,0.7344616055488586,0.7344616055488586,0.6288198677644338,0.7367455166504752
"Transformation, to grassland, natural, for livestock grazing",,,"('natural resource', 'land')",biosphere3,"('biosphere3', 'ce132b7d-ab1c-4df3-9656-8fe37ede77b1')","milk production, from cow",cow milk,ZA,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'deb8de8b6bd54e369bf9c2f766d2ed72')",biosphere,0.2582722008228302,0.2582722008228302,0.2211234596085875,0.25907533435934416
"Transformation, to pasture, man made",,,"('natural resource', 'land')",biosphere3,"('biosphere3', '7a16b680-6d9a-4db3-a23e-0ec64aca5995')","milk production, from cow",cow milk,ZA,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'deb8de8b6bd54e369bf9c2f766d2ed72')",biosphere,0.47618937492370605,0.47618937492370605,0.40769638264015934,0.4776701523961341
"Water, unspecified natural origin",,,"('natural resource', 'in ground')",biosphere3,"('biosphere3', '478e8437-1c21-4032-8438-872a6b5ddcdf')","milk production, from cow",cow milk,ZA,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'deb8de8b6bd54e369bf9c2f766d2ed72')",biosphere,0.12025799602270126,0.12025799602270126,0.10296061303313465,0.12063195508345999
"market for wood chips, dry, measured as dry mass","wood chips, dry, measured as dry mass",SSA,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'b1f31a3842f34658838e65973a86b2ae')","milk production, from cow",cow milk,ZA,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'deb8de8b6bd54e369bf9c2f766d2ed72')",technosphere,0.04605373740196228,0.04605373740196228,0.039429569693460856,0.04619694794057807
"market group for electricity, low voltage","electricity, low voltage",SSA,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'ce00bbe706da496a99709d9a54344433')","milk production, from cow",cow milk,ZA,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'deb8de8b6bd54e369bf9c2f766d2ed72')",technosphere,0.08466485887765884,0.08466485887765884,0.08466485887765884,0.08466485887765884
alfalfa/grass silage production,alfalfa-grass silage,CA-QC,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'fa64d30ad3624fe2abd584ae0cedc699')","milk production, from cow",cow milk,CA-QC,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', '539ec4f790c94ee980b10615a45c9deb')",technosphere,0.35760319232940674,0.35760319232940674,0.48466254576836554,0.34368504220162965
"barley grain, feed production","barley grain, feed",CA-QC,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', '16ff4c5dc9884d34bb8c0bb60f45c424')","milk production, from cow",cow milk,CA-QC,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', '539ec4f790c94ee980b10615a45c9deb')",technosphere,0.03623821586370468,0.03623821586370468,0.04911395180842852,0.03482780080150011
"market for energy feed, gross","energy feed, gross",RoW,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'c10dcc0c6fa04e78a3f48ea5e038a899')","milk production, from cow",cow milk,CA-QC,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', '539ec4f790c94ee980b10615a45c9deb')",technosphere,0.19681186974048615,0.19681186974048615,0.16850331313397787,0.19742388378020478
hay production,hay,CA-QC,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'e263acc6197c407d9e13aa89e4993344')","milk production, from cow",cow milk,CA-QC,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', '539ec4f790c94ee980b10615a45c9deb')",technosphere,0.116688072681427,0.116688072681427,0.15814830398518745,0.11214649657545912
"market for limestone, crushed, washed","limestone, crushed, washed",RoW,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'e7d9db99a8df4f92abf49303020ed01b')","milk production, from cow",cow milk,CA-QC,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', '539ec4f790c94ee980b10615a45c9deb')",technosphere,0.0017195321852341294,0.0017195321852341294,0.0014722022133853848,0.0017248793110985349
market for magnesium oxide,magnesium oxide,GLO,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', 'c7eccf82bb8e48b79640aa87c560b8f6')","milk production, from cow",cow milk,CA-QC,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', '539ec4f790c94ee980b10615a45c9deb')",technosphere,0.00028372291126288474,0.00028372291126288474,0.0002429134514237027,0.00028460518734365004
"maize grain, feed production","maize grain, feed",CA-QC,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', '67f75c640523430b898ab5cec4a4ba97')","milk production, from cow",cow milk,CA-QC,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', '539ec4f790c94ee980b10615a45c9deb')",technosphere,0.13799314200878143,0.13799314200878143,0.18702323955470979,0.13262235867049202
maize silage production,maize silage,CA-QC,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', '033dc80a509a4aa7b4c6d22375680a45')","milk production, from cow",cow milk,CA-QC,,remind - SSP1-PkBudg650 - 2045,"('remind - SSP1-PkBudg650 - 2045', '539ec4f790c94ee980b10615a45c9deb')",technosphere,0.4156661331653595,0.4156661331653595,0.563355726712983,0.3994881354054879
