from activity name,from reference product,from location,from categories,from database,from key,to activity name,to reference product,to location,to categories,to database,to key,flow type,baseline,electric_tractor
"PAH, polycyclic aromatic hydrocarbons",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '13d898ac-b9be-4723-a153-565e2a9144ac')","tillage, ridge cultivator","tillage, ridge cultivator",US,,remind - SSP1-PkBudg650 - 2030,"('remind - SSP1-PkBudg650 - 2030', 'f18b3f432c03410889f1b4f7706acb5f')",biosphere,8.194147994800005e-06,0.0
"Particulate Matter, < 2.5 um",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '66f50b33-fd62-4fdd-a373-c5b0de7de00d')","tillage, ridge cultivator","tillage, ridge cultivator",US,,remind - SSP1-PkBudg650 - 2030,"('remind - SSP1-PkBudg650 - 2030', 'f18b3f432c03410889f1b4f7706acb5f')",biosphere,0.01474593486636877,0.0
Sulfur dioxide,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '78c3efe4-421c-4d30-82e4-b97ac5124993')","tillage, ridge cultivator","tillage, ridge cultivator",US,,remind - SSP1-PkBudg650 - 2030,"('remind - SSP1-PkBudg650 - 2030', 'f18b3f432c03410889f1b4f7706acb5f')",biosphere,0.0024900322314351797,0.0
"market group for electricity, low voltage","electricity, low voltage",World,,remind - SSP1-PkBudg650 - 2030,"('remind - SSP1-PkBudg650 - 2030', '0cafab61141d4409954102d892bdbdf7')",bale loading,bale loading,RoW,,remind - SSP1-PkBudg650 - 2030,"('remind - SSP1-PkBudg650 - 2030', 'd75b20bf5342402ba16b37302e9f908e')",technosphere,0.0,0.3970189524467903
Ammonia,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '0f440cc0-0f74-446d-99d6-8ff0e97a2444')",bale loading,bale loading,RoW,,remind - SSP1-PkBudg650 - 2030,"('remind - SSP1-PkBudg650 - 2030', 'd75b20bf5342402ba16b37302e9f908e')",biosphere,1.620000034563418e-06,0.0
Benzene,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '5e883a00-04e6-4d96-8dce-12d7117c6635')",bale loading,bale loading,RoW,,remind - SSP1-PkBudg650 - 2030,"('remind - SSP1-PkBudg650 - 2030', 'd75b20bf5342402ba16b37302e9f908e')",biosphere,5.919999921388808e-07,0.0
"Carbon dioxide, fossil",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', 'aa7cac3a-3625-41d4-bc54-33e2cf11ec46')",bale loading,bale loading,RoW,,remind - SSP1-PkBudg650 - 2030,"('remind - SSP1-PkBudg650 - 2030', 'd75b20bf5342402ba16b37302e9f908e')",biosphere,0.2427813912248821,0.0
"Carbon monoxide, fossil",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '099b36ab-4c03-4587-87f4-2f81e337afb8')",bale loading,bale loading,RoW,,remind - SSP1-PkBudg650 - 2030,"('remind - SSP1-PkBudg650 - 2030', 'd75b20bf5342402ba16b37302e9f908e')",biosphere,0.0004140000091865659,0.0
Dinitrogen monoxide,,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', 'afd6d670-bbb0-4625-9730-04088a5b035e')",bale loading,bale loading,RoW,,remind - SSP1-PkBudg650 - 2030,"('remind - SSP1-PkBudg650 - 2030', 'd75b20bf5342402ba16b37302e9f908e')",biosphere,9.73999976849882e-06,0.0
"Methane, fossil",,,"('air', 'non-urban air or from high stacks')",biosphere3,"('biosphere3', '70ef743b-3ed5-4a6d-b192-fb6d62378555')",bale loading,bale loading,RoW,,remind - SSP1-PkBudg650 - 2030,"('remind - SSP1-PkBudg650 - 2030', 'd75b20bf5342402ba16b37302e9f908e')",biosphere,1.049999991664663e-05,0.0
