from activity name,from reference product,from location,from categories,from database,from key,to activity name,to reference product,to location,to categories,to database,to key,flow type,baseline,improve_fertilizer_placement,improve_fertilizer_rate
market for potato haulm cutting,potato haulm cutting,GLO,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '48f531f0e0174eec98b9a7786aa31b61')","potato production, conventional, hill region",potato,CH,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '162281cd29504c6fa7c47310897980db')",technosphere,2.730226333369501e-05,2.405485756272688e-05,3.064227085712122e-05
market for potato planting,potato planting,GLO,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '336b1c52a047428b94e216eb5ea99b91')","potato production, conventional, hill region",potato,CH,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '162281cd29504c6fa7c47310897980db')",technosphere,2.730226333369501e-05,2.405485756272688e-05,3.064227085712122e-05
"market for potato seed, Swiss integrated production, for setting","potato seed, Swiss integrated production, for setting",GLO,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '832be6a587c54b3e95032ce6b5715e4f')","potato production, conventional, hill region",potato,CH,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '162281cd29504c6fa7c47310897980db')",technosphere,0.08518306165933609,0.07505115564699215,0.09560388513954668
market for prosulfocarb,prosulfocarb,GLO,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'e42bc84b13004660a1aacd13c24f2f90')","potato production, conventional, hill region",potato,CH,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '162281cd29504c6fa7c47310897980db')",technosphere,4.223168798489496e-05,3.720853566951098e-05,4.739807854645899e-05
market for pyrethroid-compound,pyrethroid-compound,GLO,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'b0c46cc0a07748949c18266232e8ba92')","potato production, conventional, hill region",potato,CH,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '162281cd29504c6fa7c47310897980db')",technosphere,6.050893830433779e-07,5.331183991571611e-07,6.791126633483478e-07
market for pyridine-compound,pyridine-compound,GLO,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', 'c21d3d6d1fea4769b9adb1df86d30042')","potato production, conventional, hill region",potato,CH,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '162281cd29504c6fa7c47310897980db')",technosphere,5.995854735374451e-06,5.282691396805683e-06,6.7293543606896194e-06
"market for sodium silicate, without water, in 48% solution state","sodium silicate, without water, in 48% solution state",RER,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '6190b6fe16894990adc7929414bb653f')","potato production, conventional, hill region",potato,CH,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '162281cd29504c6fa7c47310897980db')",technosphere,1.9022199921892025e-06,1.6759647508274912e-06,2.1349270394940544e-06
"market for solid manure loading and spreading, by hydraulic loader and spreader","solid manure loading and spreading, by hydraulic loader and spreader",GLO,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '6d5f97bb5e314685a8fb102c1cde8861')","potato production, conventional, hill region",potato,CH,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '162281cd29504c6fa7c47310897980db')",technosphere,0.04796986281871796,0.042264196316051064,0.02398493140935898
market for sowing,sowing,GLO,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '9a90c60db4944d7c8f7da25c5d26af03')","potato production, conventional, hill region",potato,CH,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '162281cd29504c6fa7c47310897980db')",technosphere,2.730226333369501e-05,2.405485756272688e-05,3.064227085712122e-05
"market for tillage, cultivating, chiselling","tillage, cultivating, chiselling",GLO,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '4516cea39cc1458fb7a08b61e09b0cfd')","potato production, conventional, hill region",potato,CH,,remind - SSP1-PkBudg650 - 2040,"('remind - SSP1-PkBudg650 - 2040', '162281cd29504c6fa7c47310897980db')",technosphere,2.730226333369501e-05,2.405485756272688e-05,3.064227085712122e-05
